ANIO;OBJET_SOCEC_ID;INV_ID_PESOS_CORR;;;;;;;
2013;Agricultura;2451;;;;;;;
2013;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2013;Defensa;134;;;;;;;
2013;Educación;0;;;;;;;
2013;Energía;891;;;;;;;
2013;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2013;Estructuras y Relaciones Sociales;1857;;;;;;;
2013;Exploración y explotación de la tierra;1080;;;;;;;
2013;Exploración y explotación del espacio;802;;;;;;;
2013;Medio ambiente;1187;;;;;;;
2013;Otra Investigación civil;896;;;;;;;
2013;Producción general de conocimiento;1965;;;;;;;
2013;Producción y tecnología industrial;2003;;;;;;;
2013;Salud;1917;;;;;;;
2013;Transporte, telecomunicación y otras infraestructuras;477;;;;;;;
2014;Agricultura;3196;;;;;;;
2014;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2014;Defensa;202;;;;;;;
2014;Educación;0;;;;;;;
2014;Energía;1330;;;;;;;
2014;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2014;Estructuras y Relaciones Sociales;2480;;;;;;;
2014;Exploración y explotación de la tierra;1504;;;;;;;
2014;Exploración y explotación del espacio;1094;;;;;;;
2014;Medio ambiente;1718;;;;;;;
2014;Otra Investigación civil;1219;;;;;;;
2014;Producción general de conocimiento;2848;;;;;;;
2014;Producción y tecnología industrial;2575;;;;;;;
2014;Salud;2646;;;;;;;
2014;Transporte, telecomunicación y otras infraestructuras;649;;;;;;;
2015;Agricultura;4329;;;;;;;
2015;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2015;Defensa;260;;;;;;;
2015;Educación;0;;;;;;;
2015;Energía;2002;;;;;;;
2015;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2015;Estructuras y Relaciones Sociales;3404;;;;;;;
2015;Exploración y explotación de la tierra;2090;;;;;;;
2015;Exploración y explotación del espacio;1740;;;;;;;
2015;Medio ambiente;2041;;;;;;;
2015;Otra Investigación civil;1336;;;;;;;
2015;Producción general de conocimiento;3842;;;;;;;
2015;Producción y tecnología industrial;3698;;;;;;;
2015;Salud;3235;;;;;;;
2015;Transporte, telecomunicación y otras infraestructuras;762;;;;;;;
2016;Agricultura;5200;;;;;;;
2016;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2016;Defensa;294;;;;;;;
2016;Educación;0;;;;;;;
2016;Energía;2557;;;;;;;
2016;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2016;Estructuras y Relaciones Sociales;3673;;;;;;;
2016;Exploración y explotación de la tierra;2083;;;;;;;
2016;Exploración y explotación del espacio;1812;;;;;;;
2016;Medio ambiente;1845;;;;;;;
2016;Otra Investigación civil;2227;;;;;;;
2016;Producción general de conocimiento;4869;;;;;;;
2016;Producción y tecnología industrial;3071;;;;;;;
2016;Salud;5720;;;;;;;
2016;Transporte, telecomunicación y otras infraestructuras;773;;;;;;;
2017;Agricultura;5802;;;;;;;
2017;Cultura, recreación, religión y medios de comunicación;1272;;;;;;;
2017;Defensa;568;;;;;;;
2017;Educación;957;;;;;;;
2017;Energía;5716;;;;;;;
2017;Estructura, procesos y sistemas políticos y sociales;3056;;;;;;;
2017;Estructuras y Relaciones Sociales;0;;;;;;;
2017;Exploración y explotación de la tierra;2352;;;;;;;
2017;Exploración y explotación del espacio;2271;;;;;;;
2017;Medio ambiente;2857;;;;;;;
2017;Otra Investigación civil;0;;;;;;;
2017;Producción general de conocimiento;7119;;;;;;;
2017;Producción y tecnología industrial;3361;;;;;;;
2017;Salud;6842;;;;;;;
2017;Transporte, telecomunicación y otras infraestructuras;1077;;;;;;;
2018;Agricultura;7478;;;;;;;
2018;Cultura, recreación, religión y medios de comunicación;1525;;;;;;;
2018;Defensa;753;;;;;;;
2018;Educación;1355;;;;;;;
2018;Energía;4094;;;;;;;
2018;Estructura, procesos y sistemas políticos y sociales;3273;;;;;;;
2018;Estructuras y Relaciones Sociales;0;;;;;;;
2018;Exploración y explotación de la tierra;3086;;;;;;;
2018;Exploración y explotación del espacio;2249;;;;;;;
2018;Medio ambiente;2839;;;;;;;
2018;Otra Investigación civil;0;;;;;;;
2018;Producción general de conocimiento;8337;;;;;;;
2018;Producción y tecnología industrial;3212;;;;;;;
2018;Salud;9233;;;;;;;
2018;Transporte, telecomunicación y otras infraestructuras;1742;;;;;;;
2019;Agricultura;10992;;;;;;;
2019;Cultura, recreación, religión y medios de comunicación;2312;;;;;;;
2019;Defensa;690;;;;;;;
2019;Educación;1779;;;;;;;
2019;Energía;5336;;;;;;;
2019;Estructura, procesos y sistemas políticos y sociales;4604;;;;;;;
2019;Estructuras y Relaciones Sociales;0;;;;;;;
2019;Exploración y explotación de la tierra;4003;;;;;;;
2019;Exploración y explotación del espacio;2252;;;;;;;
2019;Medio ambiente;4146;;;;;;;
2019;Otra Investigación civil;0;;;;;;;
2019;Producción general de conocimiento;13162;;;;;;;
2019;Producción y tecnología industrial;4258;;;;;;;
2019;Salud;10556;;;;;;;
2019;Transporte, telecomunicación y otras infraestructuras;1677;;;;;;;
2020;Agricultura;15887;;;;;;;
2020;Cultura, recreación, religión y medios de comunicación;3378;;;;;;;
2020;Defensa;229;;;;;;;
2020;Educación;2896;;;;;;;
2020;Energía;8093;;;;;;;
2020;Estructura, procesos y sistemas políticos y sociales;5898;;;;;;;
2020;Estructuras y Relaciones Sociales;0;;;;;;;
2020;Exploración y explotación de la tierra;5343;;;;;;;
2020;Exploración y explotación del espacio;2558;;;;;;;
2020;Medio ambiente;5375;;;;;;;
2020;Otra Investigación civil;0;;;;;;;
2020;Producción general de conocimiento;16277;;;;;;;
2020;Producción y tecnología industrial;5629;;;;;;;
2020;Salud;14406;;;;;;;
2020;Transporte, telecomunicación y otras infraestructuras;2819;;;;;;;
2021;Agricultura;25103;;;;;;;
2021;Cultura, recreación, religión y medios de comunicación;5701;;;;;;;
2021;Defensa;1087;;;;;;;
2021;Educación;4411;;;;;;;
2021;Energía;12194;;;;;;;
2021;Estructura, procesos y sistemas políticos y sociales;9578;;;;;;;
2021;Estructuras y Relaciones Sociales;0;;;;;;;
2021;Exploración y explotación de la tierra;8923;;;;;;;
2021;Exploración y explotación del espacio;2685;;;;;;;
2021;Medio ambiente;8849;;;;;;;
2021;Otra Investigación civil;0;;;;;;;
2021;Producción general de conocimiento;25527;;;;;;;
2021;Producción y tecnología industrial;8125;;;;;;;
2021;Salud;30290;;;;;;;
2021;Transporte, telecomunicación y otras infraestructuras;4190;;;;;;;
2022;Agricultura;46378;;;;;;;
2022;Cultura, recreación, religión y medios de comunicación;11050;;;;;;;
2022;Defensa;1754;;;;;;;
2022;Educación;9234;;;;;;;
2022;Energía;15876;;;;;;;
2022;Estructura, procesos y sistemas políticos y sociales;18000;;;;;;;
2022;Estructuras y Relaciones Sociales;0;;;;;;;
2022;Exploración y explotación de la tierra;17981;;;;;;;
2022;Exploración y explotación del espacio;4436;;;;;;;
2022;Medio ambiente;21795;;;;;;;
2022;Otra Investigación civil;0;;;;;;;
2022;Producción general de conocimiento;58448;;;;;;;
2022;Producción y tecnología industrial;18947;;;;;;;
2022;Salud;43394;;;;;;;
2022;Transporte, telecomunicación y otras infraestructuras;6529;;;;;;;
2023;Agricultura;123660;;;;;;;
2023;Cultura, recreación, religión y medios de comunicación;28213;;;;;;;
2023;Defensa;4092;;;;;;;
2023;Educación;24722;;;;;;;
2023;Energía;35723;;;;;;;
2023;Estructura, procesos y sistemas políticos y sociales;50717;;;;;;;
2023;Estructuras y Relaciones Sociales;0;;;;;;;
2023;Exploración y explotación de la tierra;45637;;;;;;;
2023;Exploración y explotación del espacio;13355;;;;;;;
2023;Medio ambiente;44129;;;;;;;
2023;Otra Investigación civil;0;;;;;;;
2023;Producción general de conocimiento;139689;;;;;;;
2023;Producción y tecnología industrial;45440;;;;;;;
2023;Salud;97526;;;;;;;
2023;Transporte, telecomunicación y otras infraestructuras;13614;;;;;;;
2024;Agricultura;294665;;;;;;;
2024;Cultura, recreación, religión y medios de comunicación;55470;;;;;;;
2024;Defensa;11365;;;;;;;
2024;Educación;53770;;;;;;;
2024;Energía;60924;;;;;;;
2024;Estructura, procesos y sistemas políticos y sociales;105544;;;;;;;
2024;Estructuras y Relaciones Sociales;0;;;;;;;
2024;Exploración y explotación de la tierra;102556;;;;;;;
2024;Exploración y explotación del espacio;49211;;;;;;;
2024;Medio ambiente;98794;;;;;;;
2024;Otra Investigación civil;0;;;;;;;
2024;Producción general de conocimiento;315627;;;;;;;
2024;Producción y tecnología industrial;98592;;;;;;;
2024;Salud;225684;;;;;;;
2024;Transporte, telecomunicación y otras infraestructuras;32941;;;;;;;
