provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad
50,Mendoza,X,40 y mas,15
54,Misiones,F,0 a 17,2
54,Misiones,F,18 a 29,60
54,Misiones,F,30 a 39,32
54,Misiones,F,40 y mas,18
54,Misiones,M,0 a 17,4
54,Misiones,M,18 a 29,62
54,Misiones,M,30 a 39,28
54,Misiones,M,40 y mas,10
54,Misiones,X,18 a 29,9
54,Misiones,X,30 a 39,7
54,Misiones,X,40 y mas,8
58,Neuquén,F,0 a 17,7
58,Neuquén,F,18 a 29,43
58,Neuquén,F,30 a 39,35
58,Neuquén,F,40 y mas,56
58,Neuquén,M,0 a 17,29
58,Neuquén,M,18 a 29,124
58,Neuquén,M,30 a 39,32
58,Neuquén,M,40 y mas,13
58,Neuquén,X,0 a 17,6
58,Neuquén,X,18 a 29,41
58,Neuquén,X,30 a 39,24
58,Neuquén,X,40 y mas,11
99,Otro país,F,0 a 17,1
99,Otro país,F,18 a 29,7
99,Otro país,F,30 a 39,18
99,Otro país,F,40 y mas,120
99,Otro país,M,18 a 29,9
99,Otro país,M,30 a 39,22
99,Otro país,M,40 y mas,11
99,Otro país,X,18 a 29,6
99,Otro país,X,30 a 39,2
99,Otro país,X,40 y mas,4
62,Río Negro,F,0 a 17,8
62,Río Negro,F,18 a 29,32
62,Río Negro,F,30 a 39,37
62,Río Negro,F,40 y mas,43
62,Río Negro,M,0 a 17,22
62,Río Negro,M,18 a 29,112
62,Río Negro,M,30 a 39,35
62,Río Negro,M,40 y mas,9
62,Río Negro,X,0 a 17,4
62,Río Negro,X,18 a 29,23
62,Río Negro,X,30 a 39,14
62,Río Negro,X,40 y mas,9
66,Salta,F,18 a 29,98
66,Salta,F,30 a 39,188
66,Salta,F,40 y mas,208
66,Salta,M,0 a 17,4
66,Salta,M,18 a 29,91
66,Salta,M,30 a 39,73
66,Salta,M,40 y mas,30
66,Salta,X,0 a 17,2
66,Salta,X,18 a 29,10
66,Salta,X,30 a 39,17
66,Salta,X,40 y mas,15
70,San Juan,F,0 a 17,1
70,San Juan,F,18 a 29,55
70,San Juan,F,30 a 39,64
70,San Juan,F,40 y mas,70
70,San Juan,M,0 a 17,1
70,San Juan,M,18 a 29,57
70,San Juan,M,30 a 39,33
70,San Juan,M,40 y mas,6
70,San Juan,X,18 a 29,7
70,San Juan,X,30 a 39,9
74,San Luis,F,0 a 17,1
74,San Luis,F,18 a 29,37
74,San Luis,F,30 a 39,49
74,San Luis,F,40 y mas,69
74,San Luis,M,0 a 17,12
74,San Luis,M,18 a 29,56
74,San Luis,M,30 a 39,21
74,San Luis,M,40 y mas,5
74,San Luis,X,0 a 17,1
74,San Luis,X,18 a 29,17
74,San Luis,X,30 a 39,5
74,San Luis,X,40 y mas,2
78,Santa Cruz,F,0 a 17,3
78,Santa Cruz,F,18 a 29,31
78,Santa Cruz,F,30 a 39,24
78,Santa Cruz,F,40 y mas,29
78,Santa Cruz,M,0 a 17,9
78,Santa Cruz,M,18 a 29,55
78,Santa Cruz,M,30 a 39,13
78,Santa Cruz,M,40 y mas,11
78,Santa Cruz,X,0 a 17,1
78,Santa Cruz,X,18 a 29,8
78,Santa Cruz,X,30 a 39,2
78,Santa Cruz,X,40 y mas,4
82,Santa Fe,F,0 a 17,10
82,Santa Fe,F,18 a 29,226
82,Santa Fe,F,30 a 39,266
82,Santa Fe,F,40 y mas,403
82,Santa Fe,M,0 a 17,32
82,Santa Fe,M,18 a 29,361
82,Santa Fe,M,30 a 39,157
82,Santa Fe,M,40 y mas,54
82,Santa Fe,X,0 a 17,5
82,Santa Fe,X,18 a 29,62
82,Santa Fe,X,30 a 39,33
82,Santa Fe,X,40 y mas,22
86,Santiago del Estero,F,18 a 29,35
86,Santiago del Estero,F,30 a 39,68
86,Santiago del Estero,F,40 y mas,65
