provincia_id,provincia_nombre,genero,anio_cambio,cantidad
14,Córdoba,M,2015,14
14,Córdoba,F,2016,39
14,Córdoba,M,2016,13
14,Córdoba,F,2017,33
14,Córdoba,M,2017,16
14,Córdoba,F,2018,48
14,Córdoba,M,2018,48
14,Córdoba,F,2019,41
14,Córdoba,M,2019,62
14,Córdoba,F,2020,23
14,Córdoba,M,2020,32
14,Córdoba,F,2021,68
14,Córdoba,M,2021,69
14,Córdoba,X,2021,5
14,Córdoba,F,2022,87
14,Córdoba,M,2022,129
14,Córdoba,X,2022,37
14,Córdoba,F,2023,95
14,Córdoba,M,2023,128
14,Córdoba,X,2023,43
14,Córdoba,F,2024,5
14,Córdoba,M,2024,4
14,Córdoba,X,2024,9
18,Corrientes,F,2012,19
18,Corrientes,M,2012,2
18,Corrientes,F,2013,27
18,Corrientes,F,2014,23
18,Corrientes,F,2015,14
18,Corrientes,M,2015,2
18,Corrientes,F,2016,9
18,Corrientes,M,2016,1
18,Corrientes,F,2017,20
18,Corrientes,M,2017,4
18,Corrientes,F,2018,9
18,Corrientes,M,2018,8
18,Corrientes,F,2019,14
18,Corrientes,M,2019,11
18,Corrientes,F,2020,3
18,Corrientes,M,2020,8
18,Corrientes,F,2021,7
18,Corrientes,M,2021,8
18,Corrientes,F,2022,31
18,Corrientes,M,2022,14
18,Corrientes,X,2022,5
18,Corrientes,F,2023,34
18,Corrientes,M,2023,22
18,Corrientes,X,2023,6
18,Corrientes,F,2024,1
30,Entre Ríos,F,2011,2
30,Entre Ríos,M,2011,1
30,Entre Ríos,F,2012,46
30,Entre Ríos,M,2012,6
30,Entre Ríos,F,2013,43
30,Entre Ríos,M,2013,2
30,Entre Ríos,F,2014,21
30,Entre Ríos,M,2014,2
30,Entre Ríos,F,2015,26
30,Entre Ríos,M,2015,2
30,Entre Ríos,F,2016,17
30,Entre Ríos,M,2016,2
30,Entre Ríos,F,2017,11
30,Entre Ríos,M,2017,3
30,Entre Ríos,F,2018,19
30,Entre Ríos,M,2018,4
30,Entre Ríos,F,2019,28
30,Entre Ríos,M,2019,22
30,Entre Ríos,F,2020,15
30,Entre Ríos,M,2020,10
30,Entre Ríos,F,2021,22
30,Entre Ríos,M,2021,24
30,Entre Ríos,X,2021,4
30,Entre Ríos,F,2022,21
30,Entre Ríos,M,2022,28
30,Entre Ríos,X,2022,16
30,Entre Ríos,F,2023,32
30,Entre Ríos,M,2023,48
30,Entre Ríos,X,2023,11
30,Entre Ríos,F,2024,5
