nombre_provincia,cantidad
Buenos Aires,30941
Catamarca,170
Chaco,510
Chubut,3799
Ciudad Autónoma de Buenos Aires,20814
Corrientes,969
Córdoba,5050
Entre Ríos,1437
Formosa,1291
Jujuy,1516
La Pampa,443
La Rioja,234
Mendoza,3811
Misiones,3183
Neuquén,2869
Río Negro,3188
Salta,2117
San Juan,656
San Luis,489
Santa Cruz,4458
Santa Fe,3035
Santiago del Estero,224
Tierra del Fuego,2240
Tucumán,1003
