edad_quinquenal,cantidad
0 a 4,1597
10 a 14,3682
100 y +,83
15 a 19,5614
20 a 24,4382
25 a 29,3728
30 a 34,5565
35 a 39,5667
40 a 44,6378
45 a 49,5388
5 a 9,2749
50 a 54,5899
55 a 59,6498
60 a 64,6120
65 a 69,6787
70 a 74,7210
75 a 79,7887
80 a 84,4974
85 a 89,2675
90 a 94,1169
95 a 99,395
