ANIO,INV_ID_PESOS_CORR
2004,132
2005,197
2006,239
2007,398
2008,448
2009,595
2010,781
2011,1005
2012,1451
2013,1917
2014,2646
2015,3235
2016,5720
2017,6842
2018,9233
2019,10556
2020,14406
2021,30290
2022,43394
2023,97526
2024,225684
